标题:现在还有啥能直接看磁力链的播放器了吗 	 链接:http://tieba.baidu.com/p/5480253878 	 发帖人:sinrohu 	 发帖时间:2017-12 	 回复数量:103 
标题:今天下单了一个a7s2，本来准备买5d4的。 	 链接:http://tieba.baidu.com/p/5492743389 	 发帖人:彭城大哥 	 发帖时间:2017-12 	 回复数量:142 
标题:MIUI的工程师怕不是被策反了 	 链接:http://tieba.baidu.com/p/5513908642 	 发帖人:橙色巨塔MI 	 发帖时间:1-12 	 回复数量:62 
标题:为什么很多人都不喜欢LG的oled屏幕，LGG6的屏幕素质听 	 链接:http://tieba.baidu.com/p/5515372171 	 发帖人:求吧务封号 	 发帖时间:02:41 	 回复数量:4 
标题:500元收了个在保到7月的华为荣耀8青春版 	 链接:http://tieba.baidu.com/p/5514949326 	 发帖人:和尚法号... 	 发帖时间:1-13 	 回复数量:60 
标题:双版本？ 	 链接:http://tieba.baidu.com/p/5515210504 	 发帖人:阿森纳范... 	 发帖时间:1-13 	 回复数量:19 
标题:明年估计就是真的A屏当道了 	 链接:http://tieba.baidu.com/p/5494532674 	 发帖人:药王创真 	 发帖时间:2017-12 	 回复数量:246 
标题:最近发现我京东的黑号已经洗白了 	 链接:http://tieba.baidu.com/p/4802031267 	 发帖人:没有可乐... 	 发帖时间:2016-09 	 回复数量:67 
标题:千元吧唧，红米5plus 	 链接:http://tieba.baidu.com/p/5514145104 	 发帖人:玉置浩二 	 发帖时间:1-12 	 回复数量:63 
标题:amoled你们怎么读的？ 	 链接:http://tieba.baidu.com/p/1757017435 	 发帖人:№④烏爾... 	 发帖时间:2012-10 	 回复数量:112 
标题:jd买的东西超过7天后怎么退款 	 链接:http://tieba.baidu.com/p/3853895131 	 发帖人:开门你的... 	 发帖时间:2015-06 	 回复数量:35 
标题:普通人上手红米5的外观感受 	 链接:http://tieba.baidu.com/p/5473178953 	 发帖人:魅族副总... 	 发帖时间:2017-12 	 回复数量:140 
标题:猴米5s魔改到6+128之后，指纹直接就嗝屁了，能录入，但就 	 链接:http://tieba.baidu.com/p/5514887415 	 发帖人:alskdhk98 	 发帖时间:1-13 	 回复数量:12 
标题:OPPO这么恶心吗？禁止安装root应用 	 链接:http://tieba.baidu.com/p/5514904895 	 发帖人:parules 	 发帖时间:1-13 	 回复数量:23 
标题:常程用回Z2pro，看来ZUK铁定要复活了 	 链接:http://tieba.baidu.com/p/5510408620 	 发帖人:天书帝文 	 发帖时间:1-9 	 回复数量:124 
标题:78有人认识这个卡的吗，菜市场搞活动免费开卡还送雨伞，岂不是 	 链接:http://tieba.baidu.com/p/5514781319 	 发帖人:替天行道 	 发帖时间:1-13 	 回复数量:33 
标题:没人水吗？中国内地苹果 iCloud 服务将转由云上贵州运营 	 链接:http://tieba.baidu.com/p/5511024234 	 发帖人:周牧青 	 发帖时间:1-10 	 回复数量:70 
标题:老哥们，欧版三星卡谷歌验证了，该怎么办？ 	 链接:http://tieba.baidu.com/p/5515178196 	 发帖人:wkk52comic39 	 发帖时间:1-13 	 回复数量:28 
标题:小白测的，吧友咋看？话说我是被MIX2那20轮打开给吓到了， 	 链接:http://tieba.baidu.com/p/5514295059 	 发帖人:天书帝文 	 发帖时间:1-13 	 回复数量:66 
标题:Z17 完美版MIUI 完爆之前所有的残废MIUI 	 链接:http://tieba.baidu.com/p/5514262888 	 发帖人:天中生339 	 发帖时间:1-12 	 回复数量:140 
标题:坚果pro2天马屏幕进水进液问题阐述2，不删帖版本 	 链接:http://tieba.baidu.com/p/5453132388 	 发帖人:雨泡明... 	 发帖时间:2017-11 	 回复数量:696 
标题:有没有点，落日依山尽的感觉？ 	 链接:http://tieba.baidu.com/p/5514414498 	 发帖人:被血淹死的 	 发帖时间:1-13 	 回复数量:45 
标题:王卡要开始送流量啦 	 链接:http://tieba.baidu.com/p/5514579643 	 发帖人:黑暗骑士 	 发帖时间:1-13 	 回复数量:37 
标题:浦科特M9PE发布 这应该是消费级最强TLC了 	 链接:http://tieba.baidu.com/p/5144344548 	 发帖人:我用第三... 	 发帖时间:2017-06 	 回复数量:55 
标题:白边修补液中枪啊，还有救不。。 小米之家换背光几钱啊 	 链接:http://tieba.baidu.com/p/5514476389 	 发帖人:圆圆圆圆... 	 发帖时间:1-13 	 回复数量:100 
标题:为啥米4放了一年多，充电一闪一闪然后开不了机，怎么回事，大佬们 	 链接:http://tieba.baidu.com/p/5514682858 	 发帖人:马云丶保镖 	 发帖时间:1-13 	 回复数量:14 
标题:移动Volte真的好爽！ 	 链接:http://tieba.baidu.com/p/4214694911 	 发帖人:divx001 	 发帖时间:2015-12 	 回复数量:75 
标题:这种**设定是安卓的锅还是miui的锅？ 	 链接:http://tieba.baidu.com/p/5515239610 	 发帖人:远方无鱼 	 发帖时间:1-13 	 回复数量:14 
标题:哪位老哥有boom7的车 	 链接:http://tieba.baidu.com/p/5514986433 	 发帖人:Noc 	 发帖时间:1-13 	 回复数量:13 
标题:见识一下。什么叫别人家的续航。 	 链接:http://tieba.baidu.com/p/5515093893 	 发帖人:京东小助... 	 发帖时间:1-13 	 回复数量:10 
标题:发现一个小姐姐表演的好到位，神抓拍一秒 	 链接:http://tieba.baidu.com/p/5515043857 	 发帖人:1508839bkb 	 发帖时间:1-13 	 回复数量:11 
标题:荣耀v9 4g内存够用不 	 链接:http://tieba.baidu.com/p/5035693757 	 发帖人:玄枵子 	 发帖时间:2017-03 	 回复数量:46 
标题:显而易见360n6pro星辰蓝开箱 	 链接:http://tieba.baidu.com/p/5484369734?fid=2479109 	 发帖人:神评侠 	 发帖时间:2017-12 	 回复数量:337 
标题:永恒的迷，A10gpu相对于A9gpu，都是7600为何…… 	 链接:http://tieba.baidu.com/p/5016192728 	 发帖人:三芵嘉哥 	 发帖时间:2017-03 	 回复数量:76 
标题:终于知道小米2000亿估值怎么来的了 	 链接:http://tieba.baidu.com/p/5509649059 	 发帖人:月色撩人2... 	 发帖时间:1-9 	 回复数量:88 
标题:荣耀v9屏幕偏红是不是通病啊 	 链接:http://tieba.baidu.com/p/5249949774 	 发帖人:gayloft 	 发帖时间:2017-07 	 回复数量:52 
标题:求我此刻心里阴影面积 	 链接:http://tieba.baidu.com/p/5472856661 	 发帖人:炫硕紫爵 	 发帖时间:2017-12 	 回复数量:16 
标题:淘宝裸机靠谱吗？ 	 链接:http://tieba.baidu.com/p/5480848513 	 发帖人:みるか 	 发帖时间:2017-12 	 回复数量:35 
标题:A10日常已经卡出屎了。不知道换什么手机好 	 链接:http://tieba.baidu.com/p/5463358021 	 发帖人:宇文弑神 	 发帖时间:2017-12 	 回复数量:322 
标题:此生不弃猴王！ 	 链接:http://tieba.baidu.com/p/5515057842 	 发帖人:好人见到么 	 发帖时间:1-13 	 回复数量:25 
标题:现在115会员哪里还有买 除了官网  淘宝上好像都没了 	 链接:http://tieba.baidu.com/p/5450803547 	 发帖人:放耳朵去... 	 发帖时间:2017-11 	 回复数量:26 
标题:斐讯好像情况很不妙 	 链接:http://tieba.baidu.com/p/5513255333 	 发帖人:panqingman 	 发帖时间:1-12 	 回复数量:74 
标题:国行u11 6+128评测 	 链接:http://tieba.baidu.com/p/5514874691 	 发帖人:初2的死扑街 	 发帖时间:1-13 	 回复数量:38 
标题:最近几年嘲笑手机游戏的好像少多了。 	 链接:http://tieba.baidu.com/p/5496509523 	 发帖人:死灵辉耀... 	 发帖时间:2017-12 	 回复数量:287 
标题:度娘给自己打了广告 	 链接:http://tieba.baidu.com/p/5514895070 	 发帖人:模拟的笑话 	 发帖时间:1-13 	 回复数量:19 
标题:Exynos7872的跑分 	 链接:http://tieba.baidu.com/p/5512692086 	 发帖人:我用第三... 	 发帖时间:1-11 	 回复数量:126 
标题:ios11.2.5低温下严重降频！ 	 链接:http://tieba.baidu.com/p/5483273766?fid=2479109 	 发帖人:Intel 	 发帖时间:2017-12 	 回复数量:66 
标题:蓝绿大厂本来就是收智商税，怎么还不让人说？ 	 链接:http://tieba.baidu.com/p/5504438887 	 发帖人:阎魔罗天子 	 发帖时间:1-5 	 回复数量:430 
标题:mix2能刷emui吗？这miui用不习惯啊 	 链接:http://tieba.baidu.com/p/5512944019 	 发帖人:wxbzk 	 发帖时间:1-11 	 回复数量:158 
标题:华强北出品？？带指纹 	 链接:http://tieba.baidu.com/p/5514639267 	 发帖人:zssm6 	 发帖时间:1-13 	 回复数量:12 
标题:smart battery case太特么贵了 	 链接:http://tieba.baidu.com/p/4800544072 	 发帖人:说好了陪你 	 发帖时间:2016-09 	 回复数量:147 
标题:联通x阿里信用 166号码段套餐出炉 	 链接:http://tieba.baidu.com/p/5507868214 	 发帖人:Strings弦迷 	 发帖时间:1-8 	 回复数量:21 
标题:只见贼吃肉，不见贼挨打？ 	 链接:http://tieba.baidu.com/p/5513489907 	 发帖人:仁仁 	 发帖时间:1-12 	 回复数量:167 
标题:给老妈买手机，2500以内，要求照相和屏幕，对性能没啥要求， 	 链接:http://tieba.baidu.com/p/5514671478 	 发帖人:初寒陌 	 发帖时间:1-13 	 回复数量:45 
标题:随便弄了几下，如果sb能进化成这样多舒服 	 链接:http://tieba.baidu.com/p/5514922735 	 发帖人:oO 	 发帖时间:1-13 	 回复数量:22 
标题:为什么要是有些公司拿申请专利骗人？申请专利和获得专利是两码事 	 链接:http://tieba.baidu.com/p/5514547242 	 发帖人:80611038 	 发帖时间:1-13 	 回复数量:3 
标题:Persona5里的手机 	 链接:http://tieba.baidu.com/p/5515191128 	 发帖人:文艺青年... 	 发帖时间:1-13 	 回复数量:6 
标题:我电脑gg了吗 开机就成这样了 	 链接:http://tieba.baidu.com/p/5515191156 	 发帖人:修路也孤独 	 发帖时间:1-13 	 回复数量:3 
标题:开个箱，吧里网红机酷派s1买的是移动版4+64的，真鸡儿抠连 	 链接:http://tieba.baidu.com/p/5503618187 	 发帖人:擦度娘也... 	 发帖时间:1-4 	 回复数量:154 
标题:点击文件右键就卡住 	 链接:http://tieba.baidu.com/p/5515207901 	 发帖人:愿我能____ 	 发帖时间:1-13 	 回复数量:6 
标题:支付宝这次放大招啊 	 链接:http://tieba.baidu.com/p/5490400255 	 发帖人:独孤文2014 	 发帖时间:2017-12 	 回复数量:21 
标题:2018年的第一场尿崩 	 链接:http://tieba.baidu.com/p/5515185513 	 发帖人:不问归期 	 发帖时间:1-13 	 回复数量:19 
标题:夏普s2这机子怎么样，1399价位还有其他选择吗 	 链接:http://tieba.baidu.com/p/5483935303 	 发帖人:扬州老人 	 发帖时间:2017-12 	 回复数量:14 
标题:发现hdr好像真的挺🐮逼的 	 链接:http://tieba.baidu.com/p/5514811767 	 发帖人:思聪最疼... 	 发帖时间:1-13 	 回复数量:13 
标题:有没有用过号称地表最强15寸AORUSX5的，这货质量和音质如何？ 	 链接:http://tieba.baidu.com/p/3867090765 	 发帖人:matlab高级用户 	 发帖时间:2015-07 	 回复数量:121 
标题:骁龙630的360 n6 lite怎么样啊 	 链接:http://tieba.baidu.com/p/5515118996 	 发帖人:林妙可2013 	 发帖时间:1-13 	 回复数量:49 
标题:你们要的全面屏 	 链接:http://tieba.baidu.com/p/5515155945 	 发帖人:小米智能... 	 发帖时间:1-13 	 回复数量:1 
标题:工信部责令支付宝、今日头条、百度整改 	 链接:http://tieba.baidu.com/p/5515105290 	 发帖人:ouyang2919 	 发帖时间:1-13 	 回复数量:6 
标题:现在有支持4K原盘HDR BT2020播放的手机吗？ 	 链接:http://tieba.baidu.com/p/5499879442 	 发帖人:我kill你他她 	 发帖时间:1-1 	 回复数量:22 
标题:小米似乎有单数翻车的传统？ 	 链接:http://tieba.baidu.com/p/5508998263 	 发帖人:如月千早... 	 发帖时间:1-8 	 回复数量:104 
标题:想要一个蓝牙耳机跑步带，音质听个响，只要防汗质量好就OK 	 链接:http://tieba.baidu.com/p/5465536522 	 发帖人:与你_P美 	 发帖时间:2017-12 	 回复数量:11 
标题:求解插卡版ipad不插卡激活不了 	 链接:http://tieba.baidu.com/p/5515119158 	 发帖人:没有风没... 	 发帖时间:1-13 	 回复数量:12 
标题:geekbench出现这个情况怎么解决啊，第一次用 	 链接:http://tieba.baidu.com/p/5515093922 	 发帖人:鹖翎 	 发帖时间:1-13 	 回复数量:26 
标题:miui广告关不了？程序bug而已 	 链接:http://tieba.baidu.com/p/5514439010 	 发帖人:zhengba250 	 发帖时间:1-13 	 回复数量:39 
标题:为什么你们喜欢那么花哨的主体？ 	 链接:http://tieba.baidu.com/p/5514094338 	 发帖人:amd缺钱了 	 发帖时间:1-12 	 回复数量:284 
标题:小米NOTE3有没有什么大毛病? 	 链接:http://tieba.baidu.com/p/5509506563 	 发帖人:Titan 	 发帖时间:1-9 	 回复数量:235 
标题:大王卡送的一年腾讯视频vip 	 链接:http://tieba.baidu.com/p/5413903959 	 发帖人:闷声發... 	 发帖时间:2017-11 	 回复数量:8 
标题:三星小屏galaxy feel开箱〜 	 链接:http://tieba.baidu.com/p/5500303682?fid=2479109 	 发帖人:dandelion572 	 发帖时间:1-1 	 回复数量:176 
标题:现在能用电信卡的直板按键还有哪家 	 链接:http://tieba.baidu.com/p/5514458372 	 发帖人:漠视武士 	 发帖时间:1-13 	 回复数量:35 
标题:上了华米的手环车，开箱预订 	 链接:http://tieba.baidu.com/p/5514600800 	 发帖人:尾上世... 	 发帖时间:1-13 	 回复数量:9 
标题:年轻人的第一个🔨锤子？坚果pro2开箱 	 链接:http://tieba.baidu.com/p/5508715271 	 发帖人:神评侠 	 发帖时间:1-8 	 回复数量:223 
标题:我就想问一下你们的MIX2现在还有杀后台的情况吗？ 	 链接:http://tieba.baidu.com/p/5485479143 	 发帖人:读书苦力 	 发帖时间:2017-12 	 回复数量:50 
标题:电信新出的卡，49元省内无限流量 	 链接:http://tieba.baidu.com/p/5464514662 	 发帖人:浪客D十三 	 发帖时间:2017-12 	 回复数量:144 
标题:小米5s指纹解锁 	 链接:http://tieba.baidu.com/p/5356539819?fid=2479109 	 发帖人:丨孑灬 	 发帖时间:2017-10 	 回复数量:50 
标题:2017年手机市场是进步最慢的一年 	 链接:http://tieba.baidu.com/p/5500098965 	 发帖人:暗影精灵 	 发帖时间:1-1 	 回复数量:159 
标题:iPhone7与 iPhone8，给纠结购买的人，一个建议。 	 链接:http://tieba.baidu.com/p/5418253217 	 发帖人:逆转天涯 	 发帖时间:2017-11 	 回复数量:82 
标题:科技到这个地步了？ 	 链接:http://tieba.baidu.com/p/5513120994 	 发帖人:物欣 	 发帖时间:1-11 	 回复数量:44 
标题:屏幕摔碎了去换电池，苹果店说要加钱连屏幕也换了 	 链接:http://tieba.baidu.com/p/5513657836 	 发帖人:shy_fox 	 发帖时间:1-12 	 回复数量:22 
标题:2500K性价比还挺不错的 	 链接:http://tieba.baidu.com/p/5513750474 	 发帖人:且居北海 	 发帖时间:1-12 	 回复数量:127 
标题:adui阉割了 	 链接:http://tieba.baidu.com/p/5514977220 	 发帖人:团子小三 	 发帖时间:1-13 	 回复数量:18 
标题:有用虾米音乐的用户吗？ 	 链接:http://tieba.baidu.com/p/5514011251 	 发帖人:被血淹死的 	 发帖时间:1-12 	 回复数量:96 
标题:南京移动快变成第五大运营商？80元套餐只要20元，昨天打电话 	 链接:http://tieba.baidu.com/p/5513808680 	 发帖人:mikecn 	 发帖时间:1-12 	 回复数量:17 
标题:qq自由幻想都出手游了 	 链接:http://tieba.baidu.com/p/5509823620 	 发帖人:你有点儿... 	 发帖时间:1-9 	 回复数量:62 
标题:雷总你的初心去哪了？当初的不服跑个分 碉堡了去哪儿了？ 	 链接:http://tieba.baidu.com/p/5488987343 	 发帖人:艹句禾刀... 	 发帖时间:2017-12 	 回复数量:262 
标题:HTC10开发者版获Oreo更新，但并不支持Project Treble 	 链接:http://tieba.baidu.com/p/5514714032 	 发帖人:洛丹伦的... 	 发帖时间:1-13 	 回复数量:5 
标题:miui的开发版root是不完整的？？ 	 链接:http://tieba.baidu.com/p/5515075630 	 发帖人:依然藤原... 	 发帖时间:1-13 	 回复数量:16 
标题:在京东新注册个号，结果随机给我个乱码用户名还不能改 	 链接:http://tieba.baidu.com/p/5514912868 	 发帖人:攻城狮 	 发帖时间:1-13 	 回复数量:17 
标题:手机单天线5g wifi一般能跑多快？ 	 链接:http://tieba.baidu.com/p/5463922458 	 发帖人:lxnnnnnnnnn 	 发帖时间:2017-12 	 回复数量:87 
标题:现在的索尼还出32g的…64g都没有怎么用？我也是服气。想买 	 链接:http://tieba.baidu.com/p/5514125900 	 发帖人:阳光的余... 	 发帖时间:1-12 	 回复数量:38 
标题:深夜话题～总想和老哥们说点什么 	 链接:http://tieba.baidu.com/p/5509003932?fid=2479109 	 发帖人:东风鑫达... 	 发帖时间:1-8 	 回复数量:53 
标题:华为应该考虑一下苹果以前的gp 	 链接:http://tieba.baidu.com/p/5337451930?fid=2479109 	 发帖人:霉族fg 	 发帖时间:2017-09 	 回复数量:89 
标题:洋垃圾P9和G5拍照  业余对比 	 链接:http://tieba.baidu.com/p/5488683746 	 发帖人:星期六 	 发帖时间:2017-12 	 回复数量:98 
标题:所以一加5T 的屏幕到底有多烂？ 	 链接:http://tieba.baidu.com/p/5491895338 	 发帖人:浅唱离歌... 	 发帖时间:2017-12 	 回复数量:259 
标题:投诉电信，工信部也不给力了，大家有没经验？ 	 链接:http://tieba.baidu.com/p/5514836442 	 发帖人:ab5668862 	 发帖时间:1-13 	 回复数量:29 
标题:高通怒揭苹果黑幕：限制iPhone 7基带性能、偏袒Intel 	 链接:http://tieba.baidu.com/p/5067668373 	 发帖人:zyxdcfzwb2 	 发帖时间:2017-04 	 回复数量:58 
标题:第一次当猴 竟然同步了多年前的miui截图 	 链接:http://tieba.baidu.com/p/5506495319 	 发帖人:zolcm 	 发帖时间:1-7 	 回复数量:150 
标题:14nm前置指纹手机买高通660？减钱625？加钱835？ 	 链接:http://tieba.baidu.com/p/5513540495 	 发帖人:NVlDlA哥 	 发帖时间:1-12 	 回复数量:39 
标题:你可能是AMOLED的受害者 	 链接:http://tieba.baidu.com/p/5469259855 	 发帖人:懒惰的后... 	 发帖时间:2017-12 	 回复数量:72 
标题:支付宝出共享单车了，又有免费车骑了， 	 链接:http://tieba.baidu.com/p/5514284904 	 发帖人:Terry 	 发帖时间:1-12 	 回复数量:52 
标题:【转】爵士 vs m6  应用启动、运行速度 	 链接:http://tieba.baidu.com/p/5399170920 	 发帖人:rwgkssqrh 	 发帖时间:2017-10 	 回复数量:181 
标题:LG电视送的3D眼镜能在电影院用吗？ 	 链接:http://tieba.baidu.com/p/5072999337 	 发帖人:sosozhu741 	 发帖时间:2017-04 	 回复数量:31 
标题:这个就是猴环3了吗？ 	 链接:http://tieba.baidu.com/p/5514804905 	 发帖人:命运选中... 	 发帖时间:1-13 	 回复数量:19 
标题:1588的128g无指纹无锁iphone7开箱 	 链接:http://tieba.baidu.com/p/5511738998?fid=2479109 	 发帖人:且居北海 	 发帖时间:1-10 	 回复数量:331 
标题:一张腾讯有意思的数据图 	 链接:http://tieba.baidu.com/p/5508527620 	 发帖人:四处乱跑啊 	 发帖时间:1-8 	 回复数量:190 
标题:基佬们冬天手机指纹还好不好用也不知道怎么回事儿，最近指纹总是 	 链接:http://tieba.baidu.com/p/5514306406 	 发帖人:大总统 	 发帖时间:1-13 	 回复数量:27 
标题:让我们一起为HTC唱一首凉凉 	 链接:http://tieba.baidu.com/p/5514609954 	 发帖人:周牧青 	 发帖时间:1-13 	 回复数量:125 
标题:78老哥们的airpods遇到这个问题没有 	 链接:http://tieba.baidu.com/p/5494705436 	 发帖人:995615913 	 发帖时间:2017-12 	 回复数量:29 
标题:1000块的652+双摄+incell+4+64+NFC+一体注塑+typec还要啥自行车 	 链接:http://tieba.baidu.com/p/5493760466 	 发帖人:蓝色天使b... 	 发帖时间:2017-12 	 回复数量:218 
标题:11000mAh，国产第三代续航神机发布 	 链接:http://tieba.baidu.com/p/5513615233 	 发帖人:跑得快活... 	 发帖时间:1-12 	 回复数量:149 
标题:又被小米的虚假宣传害了 	 链接:http://tieba.baidu.com/p/5514621171 	 发帖人:菠萝排骨... 	 发帖时间:1-13 	 回复数量:26 
标题:联通又发流量了 	 链接:http://tieba.baidu.com/p/5502628795 	 发帖人:林殊 	 发帖时间:1-3 	 回复数量:19 
标题:微信也出收款码了，提现免费 	 链接:http://tieba.baidu.com/p/5514886109 	 发帖人:跑得快活... 	 发帖时间:1-13 	 回复数量:31 
标题:华为G9多任务后台 	 链接:http://tieba.baidu.com/p/5302994144 	 发帖人:迷心Lovesnow 	 发帖时间:2017-09 	 回复数量:152 
标题:飞机哥win7系统，2017年9月24日更新 	 链接:http://tieba.baidu.com/p/5339302692 	 发帖人:fjzjk 	 发帖时间:2017-09 	 回复数量:663 
标题:天天miui广告，我是来求你们的广告截图贴的 	 链接:http://tieba.baidu.com/p/5513738083 	 发帖人:So_High5 	 发帖时间:1-12 	 回复数量:147 
标题:华为诉三星侵犯知识产权案一审宣判：华为胜诉 	 链接:http://tieba.baidu.com/p/5512408277 	 发帖人:sky我爱冰红茶 	 发帖时间:1-11 	 回复数量:110 
标题:ARM宣布漏洞风波只有A53逃过一劫 	 链接:http://tieba.baidu.com/p/5504144607 	 发帖人:苹果市场... 	 发帖时间:1-5 	 回复数量:355 
标题:安卓的智能手表能开热点不，eSIM那种 	 链接:http://tieba.baidu.com/p/5514514581 	 发帖人:欢乐斗地... 	 发帖时间:1-13 	 回复数量:12 
标题:感觉菊花今年又不会升级安卓8.1了，去年一直是7.0然后直接 	 链接:http://tieba.baidu.com/p/5514469927 	 发帖人:修车工 	 发帖时间:1-13 	 回复数量:21 
标题:78有大神了解锂离子寿命的么？ 	 链接:http://tieba.baidu.com/p/5514368056 	 发帖人:twy_2000 	 发帖时间:1-13 	 回复数量:10 
标题:老哥们 你们有遇到过这个问题吗？ 	 链接:http://tieba.baidu.com/p/5514687490 	 发帖人:兔老大 	 发帖时间:1-13 	 回复数量:29 
标题:突然发现一个程序烤机比aida64 fpu还要高的，而且还能测试性能 	 链接:http://tieba.baidu.com/p/5513866374 	 发帖人:小米2enjoy 	 发帖时间:1-12 	 回复数量:48 
标题:日版s8开箱~ 	 链接:http://tieba.baidu.com/p/5424765412?fid=2479109 	 发帖人:安琪拉 	 发帖时间:2017-11 	 回复数量:186 
标题:现在洋垃圾标配是什么？ 	 链接:http://tieba.baidu.com/p/5508077316 	 发帖人:sanil伟 	 发帖时间:1-8 	 回复数量:65 
标题:我爸新开的电信套餐 	 链接:http://tieba.baidu.com/p/5493518643 	 发帖人:但纷纷观... 	 发帖时间:2017-12 	 回复数量:156 
